trait_row_id,trait_id,trait_name,base_trait_name,active_num,trait_img,trend,all_pick_rate_main,all_pick_rate_sub,avg_ranking,pick_rate_4,pick_rate_1,extra_index,extra_num,extra_color,available_levels,available_level_count
1,82510101,2 护卫,护卫,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_defender.png,0,58.22,4.65,4.49,50.22,12.61,1,2,1,2|4|6,3
2,82900101,2 皮尔特沃夫,皮尔特沃夫,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_piltover.png,2,46.07,3.68,4.44,51.58,9.8,1,2,1,2|4|6,3
3,82560101,2 主宰,主宰,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_juggernaut.png,1,40.64,3.25,4.09,56.3,18.87,1,2,1,2|4|6,3
4,82740101,1 龙血武姬,龙血武姬,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_dragonborn.png,1,39.45,3.15,3.89,60.1,20.97,1,1,5,1,1
5,82570101,2 法师,法师,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_arcanist.png,1,36.45,2.91,4.18,56.02,15.07,1,2,1,2|4|6,3
6,82760101,1 系魂圣枪,系魂圣枪,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_soulbound.png,1,34.23,2.73,3.92,59.91,20.43,1,1,5,1,1
7,82520101,1 巨神峰,巨神峰,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_targon.png,0,23.11,1.84,4.53,49.2,11.74,1,1,3,1|2|3|4|5|6,6
8,82650101,1 解脱者,解脱者,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_chainbreaker.png,0,23.02,1.84,3.32,71.21,26.58,1,1,5,1,1
9,82580101,2 神盾使,神盾使,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_warden.png,0,21.73,1.73,4.42,51.25,10.64,1,2,1,2|3|4|5,4
10,82590101,2 迅击战士,迅击战士,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_quickstriker.png,1,21.73,1.73,4.33,52.14,14.44,1,2,1,2|3|4|5,4
11,82920101,1 山隐之焰,山隐之焰,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_blacksmith.png,0,20.89,1.67,4.28,52.25,18.17,1,1,5,1,1
12,82660101,1 永猎双子,永猎双子,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_eternal.png,1,19.99,1.59,4.15,55.28,17.59,1,1,5,1,1
13,82610101,2 斗士,斗士,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_brawler.png,1,18.74,1.49,4.24,54.24,14.46,1,2,1,2|4|6,3
14,82600101,2 枪手,枪手,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_gunslinger.png,1,16.12,1.28,4.27,53.93,13.71,1,2,1,2|4,2
15,82820101,1 正义巨像,正义巨像,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_heroic.png,2,14.96,1.19,3.53,71.05,15.16,1,1,5,1,1
16,82510102,4 护卫,护卫,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_defender.png,2,13.97,1.11,4.2,56.25,11.05,2,4,2,2|4|6,3
17,82500101,2 虚空,虚空,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_void.png,0,13.82,1.1,4.25,56.53,6.68,1,2,1,2|4|6|9,4
18,82850101,2 耀光使,耀光使,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_disruptor.png,2,13.02,1.04,4.23,56.44,7.54,1,2,1,2|4,2
19,82670101,1 远古恐惧,远古恐惧,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_harvester.png,1,12.03,0.96,4.02,57.79,19.87,1,1,5,1,1
20,82960101,3 德玛西亚,德玛西亚,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_demacia.png,2,11.76,0.94,5.05,37.33,6.6,1,3,1,3|5|7|11,4
21,82780101,1 河流之王,河流之王,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_glutton.png,1,11.46,0.91,4.15,54.6,16.39,1,1,5,1,1
22,82860101,1 星界游神,星界游神,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_caretaker.png,2,11.34,0.9,5.32,36.73,5.12,1,1,5,1,1
23,82620101,3 诺克萨斯,诺克萨斯,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_noxus.png,1,10.67,0.85,4.58,46.92,14.36,1,3,1,3|5|7|10,4
24,82640101,1 虚空之女,虚空之女,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_assimilator.png,2,10.18,0.81,4.47,51.85,7.42,1,1,5,1,1
25,82960102,5 德玛西亚,德玛西亚,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_demacia.png,2,10.06,0.8,3.57,71.44,13.25,2,5,2,3|5|7|11,4
26,82800101,1 黑暗之女,黑暗之女,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_darkchild.png,2,9.16,0.73,4.3,52.63,19.47,1,1,5,1,1
27,82870101,2 狙神,狙神,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_longshot.png,0,8.88,0.71,4.48,50.15,12.11,1,2,1,2|3|4|5,4
28,82520102,2 巨神峰,巨神峰,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_targon.png,2,8.72,0.69,4.45,51.92,5.93,2,2,3,1|2|3|4|5|6,6
29,83020101,3 比尔吉沃特,比尔吉沃特,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_bilgewater.png,0,8.63,0.69,4.05,57.79,18.13,1,3,1,3|5|7|10,4
30,82870102,3 狙神,狙神,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_longshot.png,2,8.48,0.67,4.36,53.92,8.59,2,3,2,2|3|4|5,4
31,82880101,2 神谕者,神谕者,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_invoker.png,0,8.41,0.67,4.92,40.8,16.71,1,2,1,2|4,2
32,82770101,1 狂野女猎手,狂野女猎手,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_huntress.png,2,8.41,0.67,5.0,38.6,20.66,1,1,5,1,1
33,82990101,1 暗裔,暗裔,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/plus_trait_icon_darkin.png,0,8.19,0.65,4.05,56.82,19.39,1,1,1,1|2|3,3
34,82930101,3 弗雷尔卓德,弗雷尔卓德,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_freljord.png,2,7.26,0.58,4.44,51.31,9.2,1,3,1,3|5|7,3
35,83010102,5 以绪塔尔,以绪塔尔,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_ixtal.png,2,6.03,0.48,5.49,30.23,15.62,2,5,2,3|5|7,3
36,83020102,5 比尔吉沃特,比尔吉沃特,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_bilgewater.png,1,5.48,0.43,4.54,47.59,11.23,2,5,2,3|5|7|10,4
37,82550101,3 祖安,祖安,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_zaun.png,0,5.46,0.43,4.59,49.08,6.69,1,3,1,3|5|7,3
38,82890101,1 海克斯机甲,海克斯机甲,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_hexmech.png,2,5.24,0.41,4.54,47.34,15.39,1,1,5,1,1
39,82600102,4 枪手,枪手,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_gunslinger.png,2,4.94,0.39,4.3,52.31,17.39,2,4,3,2|4,2
40,82570103,6 法师,法师,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_arcanist.png,2,4.8,0.38,3.93,59.72,21.08,3,6,3,2|4|6,3
41,82570102,4 法师,法师,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_arcanist.png,0,4.68,0.37,4.19,54.65,20.04,2,4,2,2|4|6,3
42,83010101,3 以绪塔尔,以绪塔尔,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_ixtal.png,1,4.66,0.37,4.19,54.12,32.52,1,3,1,3|5|7,3
43,82540101,2 裁决战士,裁决战士,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_slayer.png,2,4.53,0.36,4.34,53.48,11.91,1,2,1,2|4|6,3
44,82840101,2 约德尔人,约德尔人,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_yordle.png,2,4.23,0.33,4.3,53.9,13.25,1,2,1,2|4|6|8,4
45,82980101,1 腕豪,腕豪,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_theboss.png,0,3.97,0.31,3.78,64.82,14.95,1,1,5,1,1
46,82940101,1 时光守护者,时光守护者,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_chronokeeper.png,0,3.9,0.31,3.93,58.0,27.38,1,1,5,1,1
47,82580102,3 神盾使,神盾使,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_warden.png,0,3.82,0.3,4.59,47.46,13.09,2,3,2,2|3|4|5,4
48,82580103,4 神盾使,神盾使,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_warden.png,2,3.43,0.27,4.28,52.47,17.44,3,4,2,2|3|4|5,4
49,82530101,2 征服者,征服者,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_vanquisher.png,1,3.16,0.25,4.4,50.3,14.57,1,2,1,2|3|4|5,4
50,82520103,3 巨神峰,巨神峰,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_targon.png,0,2.89,0.23,3.44,75.54,8.27,3,3,3,1|2|3|4|5|6,6
51,82830101,1 符文法师,符文法师,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_runemage.png,2,2.54,0.2,4.21,54.58,13.88,1,1,5,1,1
52,82950101,1 沙漠皇帝,沙漠皇帝,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_emperor.png,0,2.49,0.19,4.51,47.95,15.6,1,1,5,1,1
53,82610102,4 斗士,斗士,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_brawler.png,0,2.04,0.16,4.56,47.01,12.26,2,4,2,2|4|6,3
54,82960103,7 德玛西亚,德玛西亚,7,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_demacia.png,1,1.72,0.13,4.21,57.8,9.31,3,7,3,3|5|7|11,4
55,82590102,3 迅击战士,迅击战士,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_quickstriker.png,0,1.72,0.13,4.3,54.22,14.24,2,3,2,2|3|4|5,4
56,83020103,7 比尔吉沃特,比尔吉沃特,7,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_bilgewater.png,1,1.53,0.12,6.06,17.35,2.41,3,7,3,3|5|7|10,4
57,82870103,4 狙神,狙神,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_longshot.png,2,1.17,0.09,3.87,62.63,11.33,3,4,2,2|3|4|5,4
58,82750101,2 恕瑞玛,恕瑞玛,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_shurima.png,1,1.1,0.08,4.89,39.44,10.25,1,2,1,2|3|4,3
59,82900102,4 皮尔特沃夫,皮尔特沃夫,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_piltover.png,1,1.1,0.08,5.39,34.91,6.5,2,4,2,2|4|6,3
60,82840102,4 约德尔人,约德尔人,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_yordle.png,1,0.95,0.07,3.79,63.92,15.75,2,4,2,2|4|6|8,4
61,82840104,8 约德尔人,约德尔人,8,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_yordle.png,1,0.93,0.07,5.59,27.86,6.08,4,8,3,2|4|6|8,4
62,82610103,6 斗士,斗士,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_brawler.png,1,0.92,0.07,3.86,66.98,5.42,3,6,3,2|4|6,3
63,82930102,5 弗雷尔卓德,弗雷尔卓德,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_freljord.png,2,0.9,0.07,4.12,56.97,15.14,2,5,2,3|5|7,3
64,82880102,4 神谕者,神谕者,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_invoker.png,2,0.89,0.07,4.35,51.57,12.83,2,4,3,2|4,2
65,82840103,6 约德尔人,约德尔人,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_yordle.png,1,0.87,0.06,4.31,53.46,10.89,3,6,3,2|4|6|8,4
66,82990102,2 暗裔,暗裔,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/plus_trait_icon_darkin.png,1,0.78,0.06,3.62,64.91,22.92,2,2,2,1|2|3,3
67,82510103,6 护卫,护卫,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_defender.png,2,0.75,0.06,3.46,71.96,16.18,3,6,3,2|4|6,3
68,82560102,4 主宰,主宰,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_juggernaut.png,1,0.74,0.05,3.79,59.88,19.18,2,4,2,2|4|6,3
69,82790101,1 远古巫灵,远古巫灵,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_ascendant.png,1,0.72,0.05,4.02,55.82,19.7,1,1,5,1,1
70,82970101,1 不落魔锋,不落魔锋,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_immortal.png,1,0.72,0.05,4.27,58.38,6.88,1,1,5,1,1
71,83080101,1 暗裔剑魔,暗裔剑魔,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_worldender.png,0,0.69,0.05,3.7,64.03,21.13,1,1,5,1,1
72,82620102,5 诺克萨斯,诺克萨斯,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_noxus.png,0,0.59,0.04,5.23,34.67,8.02,2,5,2,3|5|7|10,4
73,82630101,2 暗影岛,暗影岛,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_shadowisles.png,2,0.59,0.04,4.34,51.1,8.82,1,2,1,2|3|4|5,4
74,82550102,5 祖安,祖安,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_zaun.png,2,0.56,0.04,4.31,56.92,6.53,2,5,2,3|5|7,3
75,83010103,7 以绪塔尔,以绪塔尔,7,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_ixtal.png,0,0.52,0.04,4.04,53.52,37.34,3,7,3,3|5|7,3
76,83020104,10 比尔吉沃特,比尔吉沃特,10,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_bilgewater.png,0,0.48,0.03,1.88,88.34,73.09,4,10,4,3|5|7|10,4
77,82580104,5 神盾使,神盾使,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_warden.png,2,0.43,0.03,4.69,44.22,9.54,4,5,3,2|3|4|5,4
78,82620103,7 诺克萨斯,诺克萨斯,7,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_noxus.png,0,0.39,0.03,5.43,31.49,5.52,3,7,3,3|5|7|10,4
79,83000101,1 纳什男爵,纳什男爵,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_riftscourge.png,2,0.38,0.03,4.03,58.98,14.04,1,1,5,1,1
80,82500103,6 虚空,虚空,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_void.png,0,0.36,0.02,4.71,45.18,10.84,3,6,3,2|4|6|9,4
81,82530102,3 征服者,征服者,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_vanquisher.png,0,0.33,0.02,4.55,46.1,14.93,2,3,2,2|3|4|5,4
82,82630102,3 暗影岛,暗影岛,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_shadowisles.png,2,0.33,0.02,5.14,38.56,3.92,2,3,2,2|3|4|5,4
83,82810101,1 铸星龙王,铸星龙王,1,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_starforger.png,1,0.31,0.02,4.9,39.31,8.27,1,1,5,1,1
84,82750102,3 恕瑞玛,恕瑞玛,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_shurima.png,0,0.29,0.02,3.8,63.43,17.91,2,3,2,2|3|4,3
85,82500102,4 虚空,虚空,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_void.png,0,0.27,0.02,4.6,50.0,4.76,2,4,2,2|4|6|9,4
86,82550103,7 祖安,祖安,7,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_zaun.png,2,0.23,0.01,4.29,59.81,6.54,3,7,3,3|5|7,3
87,82630103,4 暗影岛,暗影岛,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_shadowisles.png,1,0.22,0.01,5.44,30.76,1.92,3,4,3,2|3|4|5,4
88,82930103,7 弗雷尔卓德,弗雷尔卓德,7,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_freljord.png,2,0.22,0.01,4.1,58.82,10.78,3,7,3,3|5|7,3
89,82620104,10 诺克萨斯,诺克萨斯,10,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_noxus.png,2,0.2,0.01,1.19,98.93,90.42,4,10,4,3|5|7|10,4
90,82850102,4 耀光使,耀光使,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_disruptor.png,0,0.2,0.01,3.53,66.3,13.04,2,4,2,2|4,2
91,82520104,4 巨神峰,巨神峰,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_targon.png,1,0.16,0.01,4.21,55.26,7.89,4,4,3,1|2|3|4|5|6,6
92,82990103,3 暗裔,暗裔,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/plus_trait_icon_darkin.png,0,0.13,0.01,2.8,80.95,31.74,3,3,3,1|2|3,3
93,82590103,4 迅击战士,迅击战士,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_quickstriker.png,2,0.12,0.0,4.15,61.4,8.77,3,4,2,2|3|4|5,4
94,82900103,6 皮尔特沃夫,皮尔特沃夫,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_piltover.png,1,0.11,0.0,5.94,20.37,3.7,3,6,3,2|4|6,3
95,82540102,4 裁决战士,裁决战士,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_slayer.png,1,0.1,0.0,4.72,44.68,10.63,2,4,2,2|4|6,3
96,82870104,5 狙神,狙神,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_longshot.png,2,0.08,0.0,3.32,82.5,7.5,4,5,3,2|3|4|5,4
97,82520105,5 巨神峰,巨神峰,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_targon.png,0,0.06,0.0,5.83,19.35,0.0,5,5,3,1|2|3|4|5|6,6
98,82630104,5 暗影岛,暗影岛,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_shadowisles.png,1,0.05,0.0,6.04,16.66,0.0,4,5,3,2|3|4|5,4
99,82530103,4 征服者,征服者,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_vanquisher.png,0,0.04,0.0,3.86,59.09,13.63,3,4,2,2|3|4|5,4
100,82500104,9 虚空,虚空,9,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_void.png,1,0.04,0.0,4.25,60.0,0.0,4,9,3,2|4|6|9,4
101,82750103,4 恕瑞玛,恕瑞玛,4,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_shurima.png,0,0.04,0.0,1.0,100.0,100.0,3,4,4,2|3|4,3
102,82520106,6 巨神峰,巨神峰,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_targon.png,1,0.02,0.0,6.5,16.66,0.0,6,6,3,1|2|3|4|5|6,6
103,82560103,6 主宰,主宰,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_juggernaut.png,1,0.01,0.0,5.22,33.33,11.11,3,6,3,2|4|6,3
104,82960104,11 德玛西亚,德玛西亚,11,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_demacia.png,2,0.01,0.0,1.0,100.0,100.0,4,11,4,3|5|7|11,4
105,82530104,5 征服者,征服者,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_vanquisher.png,0,0.0,0.0,2.0,100.0,33.33,4,5,3,2|3|4|5,4
106,82540103,6 裁决战士,裁决战士,6,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_slayer.png,1,0.0,0.0,4.0,50.0,0.0,3,6,3,2|4|6,3
107,82590104,5 迅击战士,迅击战士,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_quickstriker.png,1,0.0,0.0,0.0,0.0,0.0,4,5,3,2|3|4|5,4
108,82680101,3 艾欧尼亚,艾欧尼亚,3,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_ionia.png,0,0.0,0.0,0.0,0.0,0.0,1,3,1,3|5|7,3
109,82680102,5 艾欧尼亚,艾欧尼亚,5,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_ionia.png,0,0.0,0.0,0.0,0.0,0.0,2,5,2,3|5|7,3
110,82680103,7 艾欧尼亚,艾欧尼亚,7,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_ionia.png,0,0.0,0.0,0.0,0.0,0.0,3,7,3,3|5|7,3
111,82680104,10 艾欧尼亚,艾欧尼亚,10,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_ionia.png,0,0.0,0.0,0.0,0.0,0.0,4,10,0,3|5|7|10,4
112,82840105,10 约德尔人,约德尔人,10,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_yordle.png,0,0.0,0.0,0.0,0.0,0.0,5,10,0,2|4|6|8|10,5
113,83060101,2 光明哨兵,光明哨兵,2,https://game.gtimg.cn/images/lol/act/jkzlk/mode16s17/trait/s16_trait_icon_sentinelsoflight.png,0,0.0,0.0,0.0,0.0,0.0,1,2,5,2,1
