_row_id,trait_ranking_row_id,level_order,level_value
1,1,1,2
2,1,2,4
3,1,3,6
4,2,1,2
5,2,2,4
6,2,3,6
7,3,1,2
8,3,2,4
9,3,3,6
10,4,1,1
11,5,1,2
12,5,2,4
13,5,3,6
14,6,1,1
15,7,1,1
16,7,2,2
17,7,3,3
18,7,4,4
19,7,5,5
20,7,6,6
21,8,1,1
22,9,1,2
23,9,2,3
24,9,3,4
25,9,4,5
26,10,1,2
27,10,2,3
28,10,3,4
29,10,4,5
30,11,1,1
31,12,1,1
32,13,1,2
33,13,2,4
34,13,3,6
35,14,1,2
36,14,2,4
37,15,1,1
38,16,1,2
39,16,2,4
40,16,3,6
41,17,1,2
42,17,2,4
43,17,3,6
44,17,4,9
45,18,1,2
46,18,2,4
47,19,1,1
48,20,1,3
49,20,2,5
50,20,3,7
51,20,4,11
52,21,1,1
53,22,1,1
54,23,1,3
55,23,2,5
56,23,3,7
57,23,4,10
58,24,1,1
59,25,1,3
60,25,2,5
61,25,3,7
62,25,4,11
63,26,1,1
64,27,1,2
65,27,2,3
66,27,3,4
67,27,4,5
68,28,1,1
69,28,2,2
70,28,3,3
71,28,4,4
72,28,5,5
73,28,6,6
74,29,1,3
75,29,2,5
76,29,3,7
77,29,4,10
78,30,1,2
79,30,2,3
80,30,3,4
81,30,4,5
82,31,1,2
83,31,2,4
84,32,1,1
85,33,1,1
86,33,2,2
87,33,3,3
88,34,1,3
89,34,2,5
90,34,3,7
91,35,1,3
92,35,2,5
93,35,3,7
94,36,1,3
95,36,2,5
96,36,3,7
97,36,4,10
98,37,1,3
99,37,2,5
100,37,3,7
101,38,1,1
102,39,1,2
103,39,2,4
104,40,1,2
105,40,2,4
106,40,3,6
107,41,1,2
108,41,2,4
109,41,3,6
110,42,1,3
111,42,2,5
112,42,3,7
113,43,1,2
114,43,2,4
115,43,3,6
116,44,1,2
117,44,2,4
118,44,3,6
119,44,4,8
120,45,1,1
121,46,1,1
122,47,1,2
123,47,2,3
124,47,3,4
125,47,4,5
126,48,1,2
127,48,2,3
128,48,3,4
129,48,4,5
130,49,1,2
131,49,2,3
132,49,3,4
133,49,4,5
134,50,1,1
135,50,2,2
136,50,3,3
137,50,4,4
138,50,5,5
139,50,6,6
140,51,1,1
141,52,1,1
142,53,1,2
143,53,2,4
144,53,3,6
145,54,1,3
146,54,2,5
147,54,3,7
148,54,4,11
149,55,1,2
150,55,2,3
151,55,3,4
152,55,4,5
153,56,1,3
154,56,2,5
155,56,3,7
156,56,4,10
157,57,1,2
158,57,2,3
159,57,3,4
160,57,4,5
161,58,1,2
162,58,2,3
163,58,3,4
164,59,1,2
165,59,2,4
166,59,3,6
167,60,1,2
168,60,2,4
169,60,3,6
170,60,4,8
171,61,1,2
172,61,2,4
173,61,3,6
174,61,4,8
175,62,1,2
176,62,2,4
177,62,3,6
178,63,1,3
179,63,2,5
180,63,3,7
181,64,1,2
182,64,2,4
183,65,1,2
184,65,2,4
185,65,3,6
186,65,4,8
187,66,1,1
188,66,2,2
189,66,3,3
190,67,1,2
191,67,2,4
192,67,3,6
193,68,1,2
194,68,2,4
195,68,3,6
196,69,1,1
197,70,1,1
198,71,1,1
199,72,1,3
200,72,2,5
201,72,3,7
202,72,4,10
203,73,1,2
204,73,2,3
205,73,3,4
206,73,4,5
207,74,1,3
208,74,2,5
209,74,3,7
210,75,1,3
211,75,2,5
212,75,3,7
213,76,1,3
214,76,2,5
215,76,3,7
216,76,4,10
217,77,1,2
218,77,2,3
219,77,3,4
220,77,4,5
221,78,1,3
222,78,2,5
223,78,3,7
224,78,4,10
225,79,1,1
226,80,1,2
227,80,2,4
228,80,3,6
229,80,4,9
230,81,1,2
231,81,2,3
232,81,3,4
233,81,4,5
234,82,1,2
235,82,2,3
236,82,3,4
237,82,4,5
238,83,1,1
239,84,1,2
240,84,2,3
241,84,3,4
242,85,1,2
243,85,2,4
244,85,3,6
245,85,4,9
246,86,1,3
247,86,2,5
248,86,3,7
249,87,1,2
250,87,2,3
251,87,3,4
252,87,4,5
253,88,1,3
254,88,2,5
255,88,3,7
256,89,1,3
257,89,2,5
258,89,3,7
259,89,4,10
260,90,1,2
261,90,2,4
262,91,1,1
263,91,2,2
264,91,3,3
265,91,4,4
266,91,5,5
267,91,6,6
268,92,1,1
269,92,2,2
270,92,3,3
271,93,1,2
272,93,2,3
273,93,3,4
274,93,4,5
275,94,1,2
276,94,2,4
277,94,3,6
278,95,1,2
279,95,2,4
280,95,3,6
281,96,1,2
282,96,2,3
283,96,3,4
284,96,4,5
285,97,1,1
286,97,2,2
287,97,3,3
288,97,4,4
289,97,5,5
290,97,6,6
291,98,1,2
292,98,2,3
293,98,3,4
294,98,4,5
295,99,1,2
296,99,2,3
297,99,3,4
298,99,4,5
299,100,1,2
300,100,2,4
301,100,3,6
302,100,4,9
303,101,1,2
304,101,2,3
305,101,3,4
306,102,1,1
307,102,2,2
308,102,3,3
309,102,4,4
310,102,5,5
311,102,6,6
312,103,1,2
313,103,2,4
314,103,3,6
315,104,1,3
316,104,2,5
317,104,3,7
318,104,4,11
319,105,1,2
320,105,2,3
321,105,3,4
322,105,4,5
323,106,1,2
324,106,2,4
325,106,3,6
326,107,1,2
327,107,2,3
328,107,3,4
329,107,4,5
330,108,1,3
331,108,2,5
332,108,3,7
333,109,1,3
334,109,2,5
335,109,3,7
336,110,1,3
337,110,2,5
338,110,3,7
339,111,1,3
340,111,2,5
341,111,3,7
342,111,4,10
343,112,1,2
344,112,2,4
345,112,3,6
346,112,4,8
347,112,5,10
348,113,1,2
